age,gender,has_ISA,retirement_age,ATR,region,recommend_isa
65,M,TRUE,72,5,2,FALSE
52,F,FALSE,67,1,3,TRUE
35,M,TRUE,60,9,3,FALSE
25,M,TRUE,69,1,2,FALSE
61,M,FALSE,65,1,3,TRUE
85,M,TRUE,55,5,1,FALSE
72,F,TRUE,62,4,4,FALSE
92,F,FALSE,67,6,3,TRUE
28,F,FALSE,69,4,3,TRUE
94,M,FALSE,73,7,4,TRUE
61,M,FALSE,75,7,4,TRUE
76,M,TRUE,65,1,1,FALSE
64,M,FALSE,55,1,3,TRUE
69,M,TRUE,60,9,1,FALSE
24,F,FALSE,65,10,3,FALSE
63,F,FALSE,65,9,4,TRUE
66,F,FALSE,63,10,4,TRUE
95,F,TRUE,67,3,2,FALSE
63,F,TRUE,74,1,2,FALSE
48,F,TRUE,71,2,2,FALSE
78,F,TRUE,75,9,4,FALSE
95,F,TRUE,72,6,4,FALSE
88,M,FALSE,68,8,4,FALSE
