age,gender,has_ISA,retirement_age,ATR,region,recommend_isa
90,F,1,73,7,1,0
55,F,0,57,10,2,1
82,M,0,67,5,1,0
81,F,1,57,2,4,0
20,M,1,70,3,4,0
94,F,1,63,6,1,0
88,M,0,75,2,3,1
25,M,1,62,1,3,1
53,F,1,55,10,3,0
29,M,1,69,2,1,0
60,F,0,64,10,2,1
65,F,1,68,4,4,0
21,F,0,72,4,4,1
55,F,0,73,5,4,0
69,M,1,73,7,1,1
47,F,0,61,9,3,0
58,M,1,55,5,1,0
90,F,1,75,6,1,1
54,F,0,67,6,3,0
76,F,1,61,5,2,0
22,F,0,57,3,2,0
30,F,0,73,3,1,1
88,F,1,62,9,3,1
100,F,1,71,10,1,0
36,F,1,65,8,3,1
83,F,1,60,4,1,0
80,F,0,65,8,3,1
89,F,1,63,8,4,0
24,M,1,74,10,4,1
70,F,0,72,6,4,0
42,F,0,68,3,4,1
30,F,1,66,10,3,0
73,F,0,69,2,3,1
64,M,0,69,9,3,0
51,M,0,68,9,2,1
52,M,1,71,6,3,1
66,F,1,71,6,2,1
76,M,1,58,1,4,0
20,M,0,69,9,4,0
63,M,1,70,5,2,1
36,M,1,66,3,1,0
38,M,1,73,5,3,0
24,M,1,59,3,2,1
82,F,0,71,10,3,1
97,M,1,56,10,3,1
61,F,1,60,6,1,1
39,F,1,70,4,2,0
83,F,0,58,10,3,1
66,F,1,66,2,2,1
78,F,1,61,6,2,1
86,F,0,56,9,1,1
35,F,0,71,9,3,0
63,M,1,74,9,3,1
69,M,1,59,9,4,0
21,M,0,73,2,1,0
62,F,0,64,8,2,1
52,F,0,55,6,2,1
67,M,0,63,9,3,1
57,M,0,72,5,1,0
74,F,0,63,3,1,1
80,M,0,59,6,1,1
81,M,0,69,8,4,1
89,M,1,56,8,4,0
87,M,1,65,6,2,0
88,M,0,56,1,3,1
30,M,0,56,2,2,1
64,F,0,63,10,1,0
100,F,1,67,1,2,1
67,M,0,64,5,3,0
18,F,0,64,1,4,1
55,M,0,64,7,3,0
87,F,1,70,9,4,1
21,F,1,74,8,4,0
19,F,0,69,1,3,0
40,M,1,60,8,2,1
59,F,1,73,4,3,1
76,F,0,70,3,3,1
27,M,1,69,6,2,1
70,M,1,71,4,1,0
85,M,1,67,4,1,0
62,M,0,73,4,1,0
55,F,0,72,9,4,0
31,F,0,70,3,3,1
88,F,0,61,9,4,1
44,M,0,64,7,3,1
32,F,0,71,6,1,1
19,F,0,71,10,4,1
36,M,0,73,2,3,1
87,F,0,72,3,1,0
49,F,0,56,9,2,1
81,F,1,61,4,2,0
86,F,1,60,4,3,0
38,M,1,69,5,1,0
35,F,1,60,6,4,1
34,F,1,57,1,3,0
58,F,0,70,3,1,1
47,F,1,60,7,3,1
40,F,1,56,5,3,0
86,M,0,66,9,1,1
75,F,1,64,1,2,1
62,F,1,56,8,4,1
84,M,1,66,9,2,1
29,F,0,66,8,2,0
67,M,0,64,9,3,1
95,F,0,70,6,3,1
18,M,0,60,10,3,0
31,F,1,59,1,4,0
47,M,0,67,5,4,1
27,M,1,63,6,3,1
20,M,0,65,2,2,0
32,M,1,59,7,1,1
38,F,1,62,7,1,1
88,F,0,67,1,4,0
64,M,0,55,8,4,1
50,M,1,60,6,4,0
36,M,0,62,3,2,0
49,M,1,61,8,2,1
33,M,0,58,3,2,1
64,F,0,64,7,3,1
37,M,1,66,6,3,0
58,M,1,57,4,4,0
96,M,1,75,4,1,0
58,M,0,67,5,4,0
28,M,0,75,3,1,0
27,F,1,74,5,1,0
60,F,0,59,7,4,1
38,M,0,64,3,3,0
66,F,0,73,1,1,1
77,M,0,63,9,3,1
28,M,1,63,8,2,1
99,M,0,74,7,4,0
93,F,1,57,7,3,0
